game_inning
1001349_inn1
1001349_inn2
1001351_inn1
1001351_inn2
1001353_inn1
1001353_inn2
1002157_inn1
1002157_inn2
1003843_inn1
1003843_inn2
1003845_inn1
1003845_inn2
1003847_inn1
1003847_inn2
1003849_inn1
1003849_inn2
1003855_inn1
1003855_inn2
1003857_inn1
1003857_inn2
1003859_inn1
1003859_inn2
1003861_inn1
1003861_inn2
1003865_inn1
1003865_inn2
1003867_inn1
1003867_inn2
1003869_inn1
1003869_inn2
1003871_inn1
1003871_inn2
1003873_inn1
1003873_inn2
1003875_inn1
1003875_inn2
1003877_inn1
1003877_inn2
1003879_inn1
1003879_inn2
1003881_inn1
1003881_inn2
1003883_inn1
1003883_inn2
1003885_inn1
1003885_inn2
1003887_inn1
1003887_inn2
1003889_inn1
1003889_inn2
1003891_inn1
1003891_inn2
1003895_inn1
1003895_inn2
1003899_inn1
1003899_inn2
1003901_inn1
1003901_inn2
1003903_inn1
1003903_inn2
1003905_inn1
1003905_inn2
1004729_inn1
1004729_inn2
1007655_inn1
1007655_inn2
1007657_inn1
1007657_inn2
1007659_inn1
1007659_inn2
1011497_inn1
1011497_inn2
1011501_inn1
1011501_inn2
1011503_inn1
1011503_inn2
1018873_inn1
1018873_inn2
1019643_inn1
1019645_inn1
1019645_inn2
1019647_inn1
1019647_inn2
1019649_inn1
1019649_inn2
1019769_inn1
1019769_inn2
1019771_inn1
1019771_inn2
1019773_inn1
1019773_inn2
1019775_inn1
1019775_inn2
1019979_inn1
1019979_inn2
1019981_inn1
1019981_inn2
1019983_inn1
1019983_inn2
1020029_inn1
1020029_inn2
1023581_inn1
1023581_inn2
1023583_inn1
1023583_inn2
1023585_inn1
1023585_inn2
1023587_inn1
1023587_inn2
1023589_inn1
1023589_inn2
1023591_inn1
1023591_inn2
1023593_inn1
1023593_inn2
1023595_inn1
1023595_inn2
1023597_inn1
1023597_inn2
1023599_inn1
1023599_inn2
1023601_inn1
1023601_inn2
1023603_inn1
1023603_inn2
1023605_inn1
1023605_inn2
1023607_inn1
1023607_inn2
1023609_inn1
1023609_inn2
1023611_inn1
1023611_inn2
1023613_inn1
1023613_inn2
1023615_inn1
1023615_inn2
1023617_inn1
1023617_inn2
1023619_inn1
1023619_inn2
1023621_inn1
1023621_inn2
1023623_inn1
1023623_inn2
1023625_inn1
1023625_inn2
1023627_inn1
1023627_inn2
1023629_inn1
1023629_inn2
1023631_inn1
1023631_inn2
1023633_inn1
1023633_inn2
1023635_inn1
1023635_inn2
1023637_inn1
1023637_inn2
1023639_inn1
1023639_inn2
1023641_inn1
1023641_inn2
1023643_inn1
1023643_inn2
1023645_inn1
1023645_inn2
1023647_inn1
1023647_inn2
1023649_inn1
1023649_inn2
1023655_inn1
1023655_inn2
1023659_inn1
1023659_inn2
1023661_inn1
1023661_inn2
1023667_inn1
1023667_inn2
1023671_inn1
1023671_inn2
1023673_inn1
1023673_inn2
1023675_inn1
1023675_inn2
1023677_inn1
1023677_inn2
1023679_inn1
1023679_inn2
1023681_inn1
1023681_inn2
1023687_inn1
1023687_inn2
1023693_inn1
1023693_inn2
1023697_inn1
1023697_inn2
1023701_inn1
1023701_inn2
1023703_inn1
1023703_inn2
1023705_inn1
1023705_inn2
1023707_inn1
1023707_inn2
1023709_inn1
1023709_inn2
1023711_inn1
1023711_inn2
1023715_inn1
1023715_inn2
1025665_inn1
1025665_inn2
1025667_inn1
1025667_inn2
1025669_inn1
1025669_inn2
1025671_inn1
1025671_inn2
1025983_inn1
1025983_inn2
1025985_inn1
1025985_inn2
1025987_inn1
1025987_inn2
1025989_inn1
1025989_inn2
1031431_inn1
1031431_inn2
1031433_inn1
1031433_inn2
1031435_inn1
1031435_inn2
1031665_inn1
1031665_inn2
1034825_inn1
1034825_inn2
1034827_inn1
1034827_inn2
1034829_inn1
1034829_inn2
1035535_inn1
1035535_inn2
1035537_inn1
1035537_inn2
1041615_inn1
1041615_inn2
1041617_inn1
1041617_inn2
1043989_inn1
1043989_inn2
1043991_inn1
1043991_inn2
1043993_inn1
1043993_inn2
1044211_inn1
1044211_inn2
1050217_inn1
1050217_inn2
