batting_team,ball_number,total_team_runs,total_team_wickets,striker_ID,bowler_ID,nonstriker_ID,batter_runs,extras_runs,total_delivery_runs,wicket,wicket_type
Sri Lanka,1,2,0,85021bcd,9e4f6851,ac56b5a7,0,2,2,0,
Sri Lanka,2,2,0,85021bcd,9e4f6851,ac56b5a7,0,0,0,0,
Sri Lanka,3,2,0,85021bcd,9e4f6851,ac56b5a7,0,0,0,0,
Sri Lanka,4,2,0,85021bcd,9e4f6851,ac56b5a7,0,0,0,0,
Sri Lanka,5,4,0,85021bcd,9e4f6851,ac56b5a7,2,0,2,0,
Sri Lanka,6,5,0,85021bcd,9e4f6851,ac56b5a7,1,0,1,0,
Sri Lanka,7,5,1,85021bcd,2cd18a73,ac56b5a7,0,0,0,1,caught
Sri Lanka,8,7,1,53068b45,2cd18a73,ac56b5a7,2,0,2,0,
Sri Lanka,9,9,1,53068b45,2cd18a73,ac56b5a7,2,0,2,0,
Sri Lanka,10,10,1,53068b45,2cd18a73,ac56b5a7,1,0,1,0,
Sri Lanka,11,11,1,ac56b5a7,2cd18a73,53068b45,1,0,1,0,
Sri Lanka,12,11,1,53068b45,2cd18a73,ac56b5a7,0,0,0,0,
Sri Lanka,13,11,1,ac56b5a7,9e4f6851,53068b45,0,0,0,0,
Sri Lanka,14,11,1,ac56b5a7,9e4f6851,53068b45,0,0,0,0,
Sri Lanka,15,12,1,ac56b5a7,9e4f6851,53068b45,1,0,1,0,
Sri Lanka,16,12,1,53068b45,9e4f6851,ac56b5a7,0,0,0,0,
Sri Lanka,17,12,1,53068b45,9e4f6851,ac56b5a7,0,0,0,0,
Sri Lanka,18,12,2,53068b45,9e4f6851,ac56b5a7,0,0,0,1,bowled
Sri Lanka,19,12,2,ac56b5a7,2cd18a73,ec691a5b,0,0,0,0,
Sri Lanka,20,13,2,ac56b5a7,2cd18a73,ec691a5b,1,0,1,0,
Sri Lanka,21,13,2,ec691a5b,2cd18a73,ac56b5a7,0,0,0,0,
Sri Lanka,22,14,2,ec691a5b,2cd18a73,ac56b5a7,1,0,1,0,
Sri Lanka,23,14,2,ac56b5a7,2cd18a73,ec691a5b,0,0,0,0,
Sri Lanka,24,14,2,ac56b5a7,2cd18a73,ec691a5b,0,0,0,0,
Sri Lanka,25,14,2,ec691a5b,9e4f6851,ac56b5a7,0,0,0,0,
Sri Lanka,26,14,2,ec691a5b,9e4f6851,ac56b5a7,0,0,0,0,
Sri Lanka,27,14,3,ec691a5b,9e4f6851,ac56b5a7,0,0,0,1,caught
Sri Lanka,28,15,3,f0b4294e,9e4f6851,ac56b5a7,1,0,1,0,
Sri Lanka,29,15,3,ac56b5a7,9e4f6851,f0b4294e,0,0,0,0,
Sri Lanka,30,15,3,ac56b5a7,9e4f6851,f0b4294e,0,0,0,0,
Sri Lanka,31,15,3,f0b4294e,2cd18a73,ac56b5a7,0,0,0,0,
Sri Lanka,32,19,3,f0b4294e,2cd18a73,ac56b5a7,4,0,4,0,
Sri Lanka,33,19,3,f0b4294e,2cd18a73,ac56b5a7,0,0,0,0,
Sri Lanka,34,20,3,f0b4294e,2cd18a73,ac56b5a7,1,0,1,0,
Sri Lanka,35,22,3,ac56b5a7,2cd18a73,f0b4294e,2,0,2,0,
Sri Lanka,36,23,3,ac56b5a7,2cd18a73,f0b4294e,1,0,1,0,
Sri Lanka,37,24,3,ac56b5a7,9e4f6851,f0b4294e,1,0,1,0,
Sri Lanka,38,25,3,f0b4294e,9e4f6851,ac56b5a7,1,0,1,0,
Sri Lanka,39,25,3,ac56b5a7,9e4f6851,f0b4294e,0,0,0,0,
Sri Lanka,40,26,3,ac56b5a7,9e4f6851,f0b4294e,1,0,1,0,
Sri Lanka,41,27,3,f0b4294e,9e4f6851,ac56b5a7,1,0,1,0,
Sri Lanka,42,28,3,ac56b5a7,9e4f6851,f0b4294e,1,0,1,0,
Sri Lanka,43,29,3,ac56b5a7,2cd18a73,f0b4294e,1,0,1,0,
Sri Lanka,44,30,3,f0b4294e,2cd18a73,ac56b5a7,1,0,1,0,
Sri Lanka,45,31,3,ac56b5a7,2cd18a73,f0b4294e,1,0,1,0,
Sri Lanka,46,31,3,f0b4294e,2cd18a73,ac56b5a7,0,0,0,0,
Sri Lanka,47,31,3,f0b4294e,2cd18a73,ac56b5a7,0,0,0,0,
Sri Lanka,48,32,3,f0b4294e,2cd18a73,ac56b5a7,1,0,1,0,
Sri Lanka,49,33,3,f0b4294e,b9b32e3c,ac56b5a7,1,0,1,0,
Sri Lanka,50,34,3,ac56b5a7,b9b32e3c,f0b4294e,1,0,1,0,
Sri Lanka,51,35,3,f0b4294e,b9b32e3c,ac56b5a7,1,0,1,0,
Sri Lanka,52,36,3,ac56b5a7,b9b32e3c,f0b4294e,1,0,1,0,
Sri Lanka,53,37,3,f0b4294e,b9b32e3c,ac56b5a7,1,0,1,0,
Sri Lanka,54,38,3,ac56b5a7,b9b32e3c,f0b4294e,1,0,1,0,
Sri Lanka,55,38,3,ac56b5a7,4c7744de,f0b4294e,0,0,0,0,
Sri Lanka,56,38,3,ac56b5a7,4c7744de,f0b4294e,0,0,0,0,
Sri Lanka,57,39,3,ac56b5a7,4c7744de,f0b4294e,1,0,1,0,
Sri Lanka,58,39,3,f0b4294e,4c7744de,ac56b5a7,0,0,0,0,
Sri Lanka,59,40,3,f0b4294e,4c7744de,ac56b5a7,1,0,1,0,
Sri Lanka,60,41,3,ac56b5a7,4c7744de,f0b4294e,1,0,1,0,
Sri Lanka,61,41,3,ac56b5a7,b9b32e3c,f0b4294e,0,0,0,0,
Sri Lanka,62,41,3,ac56b5a7,b9b32e3c,f0b4294e,0,0,0,0,
Sri Lanka,63,41,3,ac56b5a7,b9b32e3c,f0b4294e,0,0,0,0,
Sri Lanka,64,41,3,ac56b5a7,b9b32e3c,f0b4294e,0,0,0,0,
Sri Lanka,65,41,3,ac56b5a7,b9b32e3c,f0b4294e,0,0,0,0,
Sri Lanka,66,42,3,ac56b5a7,b9b32e3c,f0b4294e,1,0,1,0,
Sri Lanka,67,46,3,ac56b5a7,4c7744de,f0b4294e,4,0,4,0,
Sri Lanka,68,46,3,ac56b5a7,4c7744de,f0b4294e,0,0,0,0,
Sri Lanka,69,46,4,ac56b5a7,4c7744de,f0b4294e,0,0,0,1,caught
Sri Lanka,70,47,4,318a4039,4c7744de,f0b4294e,0,1,1,0,
Sri Lanka,71,47,4,318a4039,4c7744de,f0b4294e,0,0,0,0,
Sri Lanka,72,48,4,318a4039,4c7744de,f0b4294e,1,0,1,0,
Sri Lanka,73,50,4,f0b4294e,4c7744de,318a4039,2,0,2,0,
Sri Lanka,74,50,4,318a4039,b9b32e3c,f0b4294e,0,0,0,0,
Sri Lanka,75,51,4,318a4039,b9b32e3c,f0b4294e,1,0,1,0,
Sri Lanka,76,52,5,f0b4294e,b9b32e3c,318a4039,1,0,1,1,run out
Sri Lanka,77,53,5,f0b4294e,b9b32e3c,e04fb55d,1,0,1,0,
Sri Lanka,78,54,5,e04fb55d,b9b32e3c,f0b4294e,0,1,1,0,
Sri Lanka,79,54,5,e04fb55d,b9b32e3c,f0b4294e,0,0,0,0,
Sri Lanka,80,54,5,e04fb55d,b9b32e3c,f0b4294e,0,0,0,0,
Sri Lanka,81,55,5,f0b4294e,4c7744de,e04fb55d,1,0,1,0,
Sri Lanka,82,57,5,e04fb55d,4c7744de,f0b4294e,2,0,2,0,
Sri Lanka,83,58,5,e04fb55d,4c7744de,f0b4294e,1,0,1,0,
