batting_team,ball_number,total_team_runs,total_team_wickets,striker_ID,bowler_ID,nonstriker_ID,batter_runs,extras_runs,total_delivery_runs,wicket,wicket_type
Kolkata Knight Riders,1,4,0,b4b99816,23eeb873,fb2d1dda,4,0,4,0,
Kolkata Knight Riders,2,8,0,b4b99816,23eeb873,fb2d1dda,4,0,4,0,
Kolkata Knight Riders,3,9,0,b4b99816,23eeb873,fb2d1dda,1,0,1,0,
Kolkata Knight Riders,4,13,0,fb2d1dda,23eeb873,b4b99816,4,0,4,0,
Kolkata Knight Riders,5,13,0,fb2d1dda,23eeb873,b4b99816,0,0,0,0,
Kolkata Knight Riders,6,13,0,fb2d1dda,23eeb873,b4b99816,0,0,0,0,
Kolkata Knight Riders,7,14,0,b4b99816,e94915e6,fb2d1dda,1,0,1,0,
Kolkata Knight Riders,8,14,0,fb2d1dda,e94915e6,b4b99816,0,0,0,0,
Kolkata Knight Riders,9,14,0,fb2d1dda,e94915e6,b4b99816,0,0,0,0,
Kolkata Knight Riders,10,14,0,fb2d1dda,e94915e6,b4b99816,0,0,0,0,
Kolkata Knight Riders,11,15,0,fb2d1dda,e94915e6,b4b99816,1,0,1,0,
Kolkata Knight Riders,12,16,0,b4b99816,e94915e6,fb2d1dda,1,0,1,0,
Kolkata Knight Riders,13,20,0,b4b99816,23eeb873,fb2d1dda,4,0,4,0,
Kolkata Knight Riders,14,21,0,b4b99816,23eeb873,fb2d1dda,1,0,1,0,
Kolkata Knight Riders,15,21,0,fb2d1dda,23eeb873,b4b99816,0,0,0,0,
Kolkata Knight Riders,16,22,0,fb2d1dda,23eeb873,b4b99816,1,0,1,0,
Kolkata Knight Riders,17,23,0,b4b99816,23eeb873,fb2d1dda,1,0,1,0,
Kolkata Knight Riders,18,23,0,fb2d1dda,23eeb873,b4b99816,0,0,0,0,
Kolkata Knight Riders,19,27,0,b4b99816,e94915e6,fb2d1dda,4,0,4,0,
Kolkata Knight Riders,20,28,0,b4b99816,e94915e6,fb2d1dda,1,0,1,0,
