batting_team,ball_number,total_team_runs,total_team_wickets,striker_ID,bowler_ID,nonstriker_ID,batter_runs,extras_runs,total_delivery_runs,wicket,wicket_type
Guyana Amazon Warriors,1,0,0,bbff906c,684a56df,64d43928,0,0,0,0,
Guyana Amazon Warriors,2,1,0,bbff906c,684a56df,64d43928,1,0,1,0,
Guyana Amazon Warriors,3,7,0,64d43928,684a56df,bbff906c,6,0,6,0,
Guyana Amazon Warriors,4,7,0,64d43928,684a56df,bbff906c,0,0,0,0,
Guyana Amazon Warriors,5,7,0,64d43928,684a56df,bbff906c,0,0,0,0,
Guyana Amazon Warriors,6,7,0,64d43928,684a56df,bbff906c,0,0,0,0,
Guyana Amazon Warriors,7,7,0,bbff906c,2a2e6343,64d43928,0,0,0,0,
Guyana Amazon Warriors,8,7,0,bbff906c,2a2e6343,64d43928,0,0,0,0,
Guyana Amazon Warriors,9,7,0,bbff906c,2a2e6343,64d43928,0,0,0,0,
Guyana Amazon Warriors,10,8,0,bbff906c,2a2e6343,64d43928,1,0,1,0,
Guyana Amazon Warriors,11,8,0,64d43928,2a2e6343,bbff906c,0,0,0,0,
Guyana Amazon Warriors,12,8,0,64d43928,2a2e6343,bbff906c,0,0,0,0,
Guyana Amazon Warriors,13,14,0,bbff906c,557153ca,64d43928,6,0,6,0,
Guyana Amazon Warriors,14,15,0,bbff906c,557153ca,64d43928,1,0,1,0,
Guyana Amazon Warriors,15,16,0,64d43928,557153ca,bbff906c,1,0,1,0,
Guyana Amazon Warriors,16,16,0,bbff906c,557153ca,64d43928,0,0,0,0,
Guyana Amazon Warriors,17,17,0,bbff906c,557153ca,64d43928,1,0,1,0,
Guyana Amazon Warriors,18,18,0,64d43928,557153ca,bbff906c,1,0,1,0,
Guyana Amazon Warriors,19,18,1,64d43928,9d430b40,bbff906c,0,0,0,1,lbw
Guyana Amazon Warriors,20,19,1,0fa5042b,9d430b40,bbff906c,1,0,1,0,
Guyana Amazon Warriors,21,19,1,bbff906c,9d430b40,0fa5042b,0,0,0,0,
Guyana Amazon Warriors,22,20,1,bbff906c,9d430b40,0fa5042b,1,0,1,0,
Guyana Amazon Warriors,23,21,1,0fa5042b,9d430b40,bbff906c,1,0,1,0,
Guyana Amazon Warriors,24,22,1,bbff906c,9d430b40,0fa5042b,1,0,1,0,
Guyana Amazon Warriors,25,22,1,bbff906c,87e562a9,0fa5042b,0,0,0,0,
Guyana Amazon Warriors,26,23,1,bbff906c,87e562a9,0fa5042b,1,0,1,0,
Guyana Amazon Warriors,27,25,1,0fa5042b,87e562a9,bbff906c,2,0,2,0,
Guyana Amazon Warriors,28,25,1,0fa5042b,87e562a9,bbff906c,0,0,0,0,
Guyana Amazon Warriors,29,25,1,0fa5042b,87e562a9,bbff906c,0,0,0,0,
Guyana Amazon Warriors,30,29,1,0fa5042b,87e562a9,bbff906c,4,0,4,0,
Guyana Amazon Warriors,31,29,1,bbff906c,2a2e6343,0fa5042b,0,0,0,0,
Guyana Amazon Warriors,32,30,1,bbff906c,2a2e6343,0fa5042b,1,0,1,0,
Guyana Amazon Warriors,33,31,1,0fa5042b,2a2e6343,bbff906c,1,0,1,0,
Guyana Amazon Warriors,34,32,1,bbff906c,2a2e6343,0fa5042b,1,0,1,0,
Guyana Amazon Warriors,35,32,1,0fa5042b,2a2e6343,bbff906c,0,0,0,0,
Guyana Amazon Warriors,36,33,1,0fa5042b,2a2e6343,bbff906c,0,1,1,0,
