batting_team,ball_number,total_team_runs,total_team_wickets,striker_ID,bowler_ID,nonstriker_ID,batter_runs,extras_runs,total_delivery_runs,wicket,wicket_type
Jamaica Tallawahs,1,1,0,9a46c4e5,a1d053dd,09a9d073,1,0,1,0,
Jamaica Tallawahs,2,1,0,09a9d073,a1d053dd,9a46c4e5,0,0,0,0,
Jamaica Tallawahs,3,2,0,09a9d073,a1d053dd,9a46c4e5,1,0,1,0,
Jamaica Tallawahs,4,2,0,9a46c4e5,a1d053dd,09a9d073,0,0,0,0,
Jamaica Tallawahs,5,2,0,9a46c4e5,a1d053dd,09a9d073,0,0,0,0,
Jamaica Tallawahs,6,2,0,9a46c4e5,a1d053dd,09a9d073,0,0,0,0,
Jamaica Tallawahs,7,2,0,09a9d073,b52ffbbd,9a46c4e5,0,0,0,0,
Jamaica Tallawahs,8,3,0,09a9d073,b52ffbbd,9a46c4e5,1,0,1,0,
Jamaica Tallawahs,9,9,0,9a46c4e5,b52ffbbd,09a9d073,6,0,6,0,
Jamaica Tallawahs,10,9,0,9a46c4e5,b52ffbbd,09a9d073,0,0,0,0,
Jamaica Tallawahs,11,10,0,9a46c4e5,b52ffbbd,09a9d073,1,0,1,0,
Jamaica Tallawahs,12,10,0,09a9d073,b52ffbbd,9a46c4e5,0,0,0,0,
Jamaica Tallawahs,13,11,0,9a46c4e5,a1d053dd,09a9d073,1,0,1,0,
Jamaica Tallawahs,14,11,0,09a9d073,a1d053dd,9a46c4e5,0,0,0,0,
Jamaica Tallawahs,15,11,0,09a9d073,a1d053dd,9a46c4e5,0,0,0,0,
Jamaica Tallawahs,16,15,0,09a9d073,a1d053dd,9a46c4e5,4,0,4,0,
Jamaica Tallawahs,17,21,0,09a9d073,a1d053dd,9a46c4e5,6,0,6,0,
Jamaica Tallawahs,18,22,0,09a9d073,a1d053dd,9a46c4e5,1,0,1,0,
Jamaica Tallawahs,19,22,1,09a9d073,b52ffbbd,9a46c4e5,0,0,0,1,caught
Jamaica Tallawahs,20,22,1,9a46c4e5,b52ffbbd,b0081e62,0,0,0,0,
Jamaica Tallawahs,21,22,1,9a46c4e5,b52ffbbd,b0081e62,0,0,0,0,
Jamaica Tallawahs,22,23,1,9a46c4e5,b52ffbbd,b0081e62,1,0,1,0,
Jamaica Tallawahs,23,23,1,b0081e62,b52ffbbd,9a46c4e5,0,0,0,0,
Jamaica Tallawahs,24,23,1,b0081e62,b52ffbbd,9a46c4e5,0,0,0,0,
Jamaica Tallawahs,25,23,1,9a46c4e5,ed90abe4,b0081e62,0,0,0,0,
Jamaica Tallawahs,26,23,1,9a46c4e5,ed90abe4,b0081e62,0,0,0,0,
Jamaica Tallawahs,27,24,1,9a46c4e5,ed90abe4,b0081e62,1,0,1,0,
Jamaica Tallawahs,28,24,1,b0081e62,ed90abe4,9a46c4e5,0,0,0,0,
Jamaica Tallawahs,29,25,1,b0081e62,ed90abe4,9a46c4e5,1,0,1,0,
Jamaica Tallawahs,30,29,1,9a46c4e5,ed90abe4,b0081e62,4,0,4,0,
Jamaica Tallawahs,31,35,1,b0081e62,b52ffbbd,9a46c4e5,6,0,6,0,
Jamaica Tallawahs,32,36,1,b0081e62,b52ffbbd,9a46c4e5,1,0,1,0,
Jamaica Tallawahs,33,36,1,9a46c4e5,b52ffbbd,b0081e62,0,0,0,0,
Jamaica Tallawahs,34,40,1,9a46c4e5,b52ffbbd,b0081e62,4,0,4,0,
Jamaica Tallawahs,35,41,1,9a46c4e5,b52ffbbd,b0081e62,1,0,1,0,
Jamaica Tallawahs,36,42,1,b0081e62,b52ffbbd,9a46c4e5,1,0,1,0,
Jamaica Tallawahs,37,42,1,b0081e62,e342e5fb,9a46c4e5,0,0,0,0,
Jamaica Tallawahs,38,42,2,b0081e62,e342e5fb,9a46c4e5,0,0,0,1,caught
Jamaica Tallawahs,39,43,2,650d5e49,e342e5fb,9a46c4e5,1,0,1,0,
Jamaica Tallawahs,40,43,2,9a46c4e5,e342e5fb,650d5e49,0,0,0,0,
Jamaica Tallawahs,41,47,2,9a46c4e5,e342e5fb,650d5e49,4,0,4,0,
Jamaica Tallawahs,42,48,2,9a46c4e5,e342e5fb,650d5e49,1,0,1,0,
Jamaica Tallawahs,43,52,2,9a46c4e5,b52ffbbd,650d5e49,4,0,4,0,
Jamaica Tallawahs,44,53,2,9a46c4e5,b52ffbbd,650d5e49,1,0,1,0,
Jamaica Tallawahs,45,53,2,650d5e49,b52ffbbd,9a46c4e5,0,0,0,0,
Jamaica Tallawahs,46,59,2,650d5e49,b52ffbbd,9a46c4e5,6,0,6,0,
Jamaica Tallawahs,47,63,2,650d5e49,b52ffbbd,9a46c4e5,4,0,4,0,
Jamaica Tallawahs,48,69,2,650d5e49,b52ffbbd,9a46c4e5,6,0,6,0,
Jamaica Tallawahs,49,70,2,9a46c4e5,b0946605,650d5e49,1,0,1,0,
Jamaica Tallawahs,50,70,2,650d5e49,b0946605,9a46c4e5,0,0,0,0,
Jamaica Tallawahs,51,71,2,650d5e49,b0946605,9a46c4e5,1,0,1,0,
Jamaica Tallawahs,52,71,2,9a46c4e5,b0946605,650d5e49,0,0,0,0,
Jamaica Tallawahs,53,75,2,9a46c4e5,b0946605,650d5e49,4,0,4,0,
Jamaica Tallawahs,54,79,2,9a46c4e5,b0946605,650d5e49,4,0,4,0,
Jamaica Tallawahs,55,80,2,650d5e49,2e11c706,9a46c4e5,1,0,1,0,
Jamaica Tallawahs,56,81,2,9a46c4e5,2e11c706,650d5e49,1,0,1,0,
Jamaica Tallawahs,57,81,2,650d5e49,2e11c706,9a46c4e5,0,0,0,0,
Jamaica Tallawahs,58,81,2,650d5e49,2e11c706,9a46c4e5,0,0,0,0,
Jamaica Tallawahs,59,81,2,650d5e49,2e11c706,9a46c4e5,0,0,0,0,
Jamaica Tallawahs,60,81,2,650d5e49,2e11c706,9a46c4e5,0,0,0,0,
Jamaica Tallawahs,61,81,3,9a46c4e5,b0946605,650d5e49,0,0,0,1,lbw
Jamaica Tallawahs,62,82,3,d67d5f00,b0946605,650d5e49,0,1,1,0,
Jamaica Tallawahs,63,83,3,d67d5f00,b0946605,650d5e49,1,0,1,0,
Jamaica Tallawahs,64,84,3,650d5e49,b0946605,d67d5f00,1,0,1,0,
Jamaica Tallawahs,65,85,3,d67d5f00,b0946605,650d5e49,1,0,1,0,
Jamaica Tallawahs,66,86,3,650d5e49,b0946605,d67d5f00,1,0,1,0,
Jamaica Tallawahs,67,90,3,d67d5f00,b0946605,650d5e49,4,0,4,0,
Jamaica Tallawahs,68,91,3,650d5e49,2e11c706,d67d5f00,1,0,1,0,
Jamaica Tallawahs,69,93,3,d67d5f00,2e11c706,650d5e49,2,0,2,0,
Jamaica Tallawahs,70,94,3,d67d5f00,2e11c706,650d5e49,1,0,1,0,
Jamaica Tallawahs,71,95,3,650d5e49,2e11c706,d67d5f00,1,0,1,0,
Jamaica Tallawahs,72,96,3,d67d5f00,2e11c706,650d5e49,1,0,1,0,
Jamaica Tallawahs,73,100,3,650d5e49,2e11c706,d67d5f00,4,0,4,0,
Jamaica Tallawahs,74,106,3,d67d5f00,e342e5fb,650d5e49,6,0,6,0,
Jamaica Tallawahs,75,108,3,d67d5f00,e342e5fb,650d5e49,2,0,2,0,
Jamaica Tallawahs,76,109,3,d67d5f00,e342e5fb,650d5e49,1,0,1,0,
Jamaica Tallawahs,77,115,3,650d5e49,e342e5fb,d67d5f00,6,0,6,0,
Jamaica Tallawahs,78,116,3,650d5e49,e342e5fb,d67d5f00,0,1,1,0,
Jamaica Tallawahs,79,117,3,650d5e49,e342e5fb,d67d5f00,1,0,1,0,
Jamaica Tallawahs,80,118,3,d67d5f00,e342e5fb,650d5e49,1,0,1,0,
Jamaica Tallawahs,81,119,3,d67d5f00,a1d053dd,650d5e49,1,0,1,0,
Jamaica Tallawahs,82,120,3,650d5e49,a1d053dd,d67d5f00,1,0,1,0,
Jamaica Tallawahs,83,121,3,d67d5f00,a1d053dd,650d5e49,1,0,1,0,
Jamaica Tallawahs,84,127,3,650d5e49,a1d053dd,d67d5f00,6,0,6,0,
Jamaica Tallawahs,85,127,3,650d5e49,a1d053dd,d67d5f00,0,0,0,0,
Jamaica Tallawahs,86,128,3,650d5e49,a1d053dd,d67d5f00,1,0,1,0,
Jamaica Tallawahs,87,129,3,650d5e49,b0946605,d67d5f00,1,0,1,0,
Jamaica Tallawahs,88,130,3,d67d5f00,b0946605,650d5e49,1,0,1,0,
Jamaica Tallawahs,89,134,3,650d5e49,b0946605,d67d5f00,4,0,4,0,
Jamaica Tallawahs,90,138,3,650d5e49,b0946605,d67d5f00,4,0,4,0,
Jamaica Tallawahs,91,139,3,650d5e49,b0946605,d67d5f00,1,0,1,0,
Jamaica Tallawahs,92,140,3,d67d5f00,b0946605,650d5e49,1,0,1,0,
Jamaica Tallawahs,93,144,3,d67d5f00,e342e5fb,650d5e49,4,0,4,0,
Jamaica Tallawahs,94,145,3,d67d5f00,e342e5fb,650d5e49,1,0,1,0,
Jamaica Tallawahs,95,149,3,650d5e49,e342e5fb,d67d5f00,4,0,4,0,
Jamaica Tallawahs,96,150,3,650d5e49,e342e5fb,d67d5f00,1,0,1,0,
Jamaica Tallawahs,97,151,3,d67d5f00,e342e5fb,650d5e49,1,0,1,0,
Jamaica Tallawahs,98,155,3,650d5e49,e342e5fb,d67d5f00,4,0,4,0,
Jamaica Tallawahs,99,156,3,d67d5f00,2e11c706,650d5e49,1,0,1,0,
Jamaica Tallawahs,100,157,3,650d5e49,2e11c706,d67d5f00,1,0,1,0,
Jamaica Tallawahs,101,158,3,d67d5f00,2e11c706,650d5e49,1,0,1,0,
Jamaica Tallawahs,102,159,3,650d5e49,2e11c706,d67d5f00,0,1,1,0,
Jamaica Tallawahs,103,159,3,650d5e49,2e11c706,d67d5f00,0,0,0,0,
Jamaica Tallawahs,104,160,3,650d5e49,2e11c706,d67d5f00,1,0,1,0,
Jamaica Tallawahs,105,160,4,d67d5f00,2e11c706,650d5e49,0,0,0,1,caught
Jamaica Tallawahs,106,164,4,650d5e49,b0946605,bbd41817,4,0,4,0,
Jamaica Tallawahs,107,165,4,650d5e49,b0946605,bbd41817,1,0,1,0,
Jamaica Tallawahs,108,166,4,bbd41817,b0946605,650d5e49,0,1,1,0,
Jamaica Tallawahs,109,166,4,bbd41817,b0946605,650d5e49,0,0,0,0,
Jamaica Tallawahs,110,167,4,bbd41817,b0946605,650d5e49,1,0,1,0,
Jamaica Tallawahs,111,172,4,650d5e49,b0946605,bbd41817,4,1,5,0,
Jamaica Tallawahs,112,176,4,650d5e49,b0946605,bbd41817,4,0,4,0,
Jamaica Tallawahs,113,180,4,650d5e49,b0946605,bbd41817,4,0,4,0,
Jamaica Tallawahs,114,180,5,bbd41817,2e11c706,650d5e49,0,0,0,1,run out
Jamaica Tallawahs,115,184,5,650d5e49,2e11c706,94d7f855,4,0,4,0,
Jamaica Tallawahs,116,184,6,650d5e49,2e11c706,94d7f855,0,0,0,1,bowled
Jamaica Tallawahs,117,185,6,a9231c3f,2e11c706,94d7f855,1,0,1,0,
Jamaica Tallawahs,118,191,6,94d7f855,2e11c706,a9231c3f,6,0,6,0,
Jamaica Tallawahs,119,192,6,94d7f855,2e11c706,a9231c3f,1,0,1,0,
