batting_team,ball_number,total_team_runs,total_team_wickets,striker_ID,bowler_ID,nonstriker_ID,batter_runs,extras_runs,total_delivery_runs,wicket,wicket_type
South Africa,1,0,0,e66732f8,4d7f517e,b8cc58c9,0,0,0,0,
South Africa,2,1,0,e66732f8,4d7f517e,b8cc58c9,1,0,1,0,
South Africa,3,1,0,b8cc58c9,4d7f517e,e66732f8,0,0,0,0,
South Africa,4,1,0,b8cc58c9,4d7f517e,e66732f8,0,0,0,0,
South Africa,5,2,0,b8cc58c9,4d7f517e,e66732f8,1,0,1,0,
South Africa,6,3,0,e66732f8,4d7f517e,b8cc58c9,1,0,1,0,
South Africa,7,5,0,e66732f8,83d17bbc,b8cc58c9,2,0,2,0,
South Africa,8,5,1,e66732f8,83d17bbc,b8cc58c9,0,0,0,1,caught
South Africa,9,5,1,6a26221c,83d17bbc,b8cc58c9,0,0,0,0,
South Africa,10,9,1,6a26221c,83d17bbc,b8cc58c9,4,0,4,0,
South Africa,11,9,1,6a26221c,83d17bbc,b8cc58c9,0,0,0,0,
South Africa,12,9,1,6a26221c,83d17bbc,b8cc58c9,0,0,0,0,
South Africa,13,9,1,b8cc58c9,4d7f517e,6a26221c,0,0,0,0,
South Africa,14,9,1,b8cc58c9,4d7f517e,6a26221c,0,0,0,0,
South Africa,15,10,1,b8cc58c9,4d7f517e,6a26221c,1,0,1,0,
South Africa,16,10,1,6a26221c,4d7f517e,b8cc58c9,0,0,0,0,
South Africa,17,14,1,6a26221c,4d7f517e,b8cc58c9,4,0,4,0,
South Africa,18,20,1,6a26221c,4d7f517e,b8cc58c9,6,0,6,0,
South Africa,19,21,1,b8cc58c9,83d17bbc,6a26221c,1,0,1,0,
South Africa,20,21,1,6a26221c,83d17bbc,b8cc58c9,0,0,0,0,
South Africa,21,22,1,6a26221c,83d17bbc,b8cc58c9,0,1,1,0,
South Africa,22,23,1,b8cc58c9,83d17bbc,6a26221c,1,0,1,0,
South Africa,23,23,2,6a26221c,83d17bbc,b8cc58c9,0,0,0,1,caught
South Africa,24,23,2,85b3fab2,83d17bbc,b8cc58c9,0,0,0,0,
South Africa,25,23,3,b8cc58c9,97290faf,85b3fab2,0,0,0,1,caught
South Africa,26,23,3,9948e262,97290faf,85b3fab2,0,0,0,0,
South Africa,27,23,3,9948e262,97290faf,85b3fab2,0,0,0,0,
South Africa,28,25,3,9948e262,97290faf,85b3fab2,2,0,2,0,
South Africa,29,25,3,9948e262,97290faf,85b3fab2,0,0,0,0,
South Africa,30,26,3,9948e262,97290faf,85b3fab2,1,0,1,0,
South Africa,31,27,3,9948e262,83d17bbc,85b3fab2,1,0,1,0,
South Africa,32,27,3,85b3fab2,83d17bbc,9948e262,0,0,0,0,
South Africa,33,31,3,85b3fab2,83d17bbc,9948e262,4,0,4,0,
South Africa,34,32,3,85b3fab2,83d17bbc,9948e262,1,0,1,0,
South Africa,35,32,3,9948e262,83d17bbc,85b3fab2,0,0,0,0,
South Africa,36,33,3,9948e262,83d17bbc,85b3fab2,1,0,1,0,
South Africa,37,33,4,9948e262,97290faf,85b3fab2,0,0,0,1,caught
South Africa,38,33,4,f0af99a7,97290faf,85b3fab2,0,0,0,0,
South Africa,39,37,4,f0af99a7,97290faf,85b3fab2,4,0,4,0,
South Africa,40,37,4,f0af99a7,97290faf,85b3fab2,0,0,0,0,
South Africa,41,38,4,f0af99a7,97290faf,85b3fab2,1,0,1,0,
South Africa,42,38,4,85b3fab2,97290faf,f0af99a7,0,0,0,0,
South Africa,43,40,4,f0af99a7,4d7f517e,85b3fab2,2,0,2,0,
South Africa,44,40,4,f0af99a7,4d7f517e,85b3fab2,0,0,0,0,
South Africa,45,41,4,f0af99a7,4d7f517e,85b3fab2,1,0,1,0,
South Africa,46,41,4,85b3fab2,4d7f517e,f0af99a7,0,0,0,0,
South Africa,47,42,4,85b3fab2,4d7f517e,f0af99a7,1,0,1,0,
South Africa,48,42,5,f0af99a7,4d7f517e,85b3fab2,0,0,0,1,caught
South Africa,49,43,5,85b3fab2,c5aef772,39181592,1,0,1,0,
South Africa,50,45,5,39181592,c5aef772,85b3fab2,2,0,2,0,
South Africa,51,45,5,39181592,c5aef772,85b3fab2,0,0,0,0,
South Africa,52,45,5,39181592,c5aef772,85b3fab2,0,0,0,0,
South Africa,53,47,5,39181592,c5aef772,85b3fab2,2,0,2,0,
South Africa,54,47,5,39181592,c5aef772,85b3fab2,0,0,0,0,
South Africa,55,48,5,85b3fab2,4d7f517e,39181592,1,0,1,0,
South Africa,56,49,5,39181592,4d7f517e,85b3fab2,1,0,1,0,
South Africa,57,50,5,85b3fab2,4d7f517e,39181592,1,0,1,0,
South Africa,58,50,5,39181592,4d7f517e,85b3fab2,0,0,0,0,
South Africa,59,51,5,39181592,4d7f517e,85b3fab2,1,0,1,0,
South Africa,60,51,5,85b3fab2,4d7f517e,39181592,0,0,0,0,
South Africa,61,51,5,39181592,97bdec3d,85b3fab2,0,0,0,0,
South Africa,62,52,5,39181592,97bdec3d,85b3fab2,1,0,1,0,
South Africa,63,53,5,85b3fab2,97bdec3d,39181592,1,0,1,0,
South Africa,64,54,5,39181592,97bdec3d,85b3fab2,1,0,1,0,
South Africa,65,54,5,85b3fab2,97bdec3d,39181592,0,0,0,0,
South Africa,66,55,5,85b3fab2,97bdec3d,39181592,1,0,1,0,
South Africa,67,56,5,85b3fab2,3feda4fa,39181592,1,0,1,0,
South Africa,68,57,5,39181592,3feda4fa,85b3fab2,0,1,1,0,
South Africa,69,63,5,39181592,3feda4fa,85b3fab2,6,0,6,0,
South Africa,70,67,5,39181592,3feda4fa,85b3fab2,4,0,4,0,
South Africa,71,68,5,39181592,3feda4fa,85b3fab2,1,0,1,0,
South Africa,72,69,5,85b3fab2,3feda4fa,39181592,1,0,1,0,
South Africa,73,69,5,39181592,3feda4fa,85b3fab2,0,0,0,0,
South Africa,74,75,5,85b3fab2,97bdec3d,39181592,6,0,6,0,
South Africa,75,76,5,85b3fab2,97bdec3d,39181592,1,0,1,0,
South Africa,76,76,5,39181592,97bdec3d,85b3fab2,0,0,0,0,
South Africa,77,77,5,39181592,97bdec3d,85b3fab2,1,0,1,0,
South Africa,78,78,5,85b3fab2,97bdec3d,39181592,1,0,1,0,
